text,intent,entity,split
Which zone is the sports centre in?,find_location,sports centre,train
Where are the aquatic facilities on campus?,find_location,sports centre,train
How do I get to the swimming pool?,find_location,sports centre,train
Where is the sports centre on the campus map?,find_location,sports centre,val
Where are the classrooms?,find_location,classroom,test
How do I find my classroom?,find_location,classroom,train
Where are the teaching rooms?,find_location,classroom,train
I'm looking for a tutorial room,find_location,classroom,val
Where are the seminar rooms for classes?,find_location,classroom,train
Where do lectures take place in small groups?,find_location,classroom,train
Where are the regular teaching rooms?,find_location,classroom,train
Which building has the classrooms?,find_location,classroom,train
Where do I go for my tutorial session?,find_location,classroom,train
Where can I find a teaching room on campus?,find_location,classroom,train
Which zone are the classrooms in?,find_location,classroom,val
Where are the tutorial rooms?,find_location,classroom,test
Where is the science laboratory?,find_location,laboratory,test
How do I find the lab on campus?,find_location,laboratory,train
Where are the science labs?,find_location,laboratory,train
I need to get to the chemistry lab,find_location,laboratory,test
Where is the biology laboratory?,find_location,laboratory,train
How do I find the research labs?,find_location,laboratory,val
Where do students do practicals?,find_location,laboratory,train
I'm looking for the science laboratories,find_location,laboratory,train
Which building has the labs?,find_location,laboratory,test
Where are the laboratory rooms?,find_location,laboratory,train
Where can I do practical work on campus?,find_location,laboratory,train
Where is the biology lab?,find_location,laboratory,val
Which zone are the labs in?,find_location,laboratory,train
How do I get to the science laboratory?,find_location,laboratory,train
Where are the research laboratories?,find_location,laboratory,train
I need directions to the science lab,find_location,laboratory,train
Where is the meeting room?,find_location,meeting room,val
How do I find a meeting room on campus?,find_location,meeting room,train
Where can I book a meeting room?,find_location,meeting room,train
I'm looking for a seminar room,find_location,meeting room,train
Where are the conference rooms?,find_location,meeting room,train
I need a room for a small group meeting,find_location,meeting room,val
Where are the bookable rooms?,find_location,meeting room,train
Which building has meeting rooms?,find_location,meeting room,train
Where can I have a private discussion on campus?,find_location,meeting room,test
Where are the seminar rooms on campus?,find_location,meeting room,train
How do I reserve a meeting room?,find_location,meeting room,val
Where are the conference rooms on campus?,find_location,meeting room,train
Where can I find a room for a group meeting?,find_location,meeting room,train
Where is the main building?,find_location,main building,train
How do I find the main building?,find_location,main building,val
Where is the central campus building?,find_location,main building,train
I'm looking for the Chancellor Building,find_location,main building,val
Where is the main campus entrance building?,find_location,main building,test
Which building is at the heart of campus?,find_location,main building,train
Where is the central administrative building?,find_location,main building,val
I need to go to the main building on campus,find_location,main building,train
Where is the headquarters building?,find_location,main building,train
How do I get to the main campus building?,find_location,main building,val
Which zone is the main building in?,find_location,main building,train
Where is the main building on the campus map?,find_location,main building,train
What time does the auditorium open?,ask_hours,auditorium,train
When is the auditorium available?,ask_hours,auditorium,train
What are the auditorium opening hours?,ask_hours,auditorium,val
Is the auditorium open on weekends?,ask_hours,auditorium,val
When can I use the auditorium?,ask_hours,auditorium,train
What time does the auditorium close?,ask_hours,auditorium,train
Is the auditorium open on Saturdays?,ask_hours,auditorium,train
What time does the gymnasium open?,ask_hours,gym,train
When does the gym close on weekdays?,ask_hours,gym,train
What time does the gym close?,ask_hours,gym,test
Is the gymnasium open on weekends?,ask_hours,gym,test
What are the gym's weekend hours?,ask_hours,gym,train
When does the gym open on Sundays?,ask_hours,gym,train
What time does the gym open on Saturday?,ask_hours,gym,train
When does the sports centre close?,ask_hours,sports centre,val
What are the swimming pool session times?,ask_hours,sports centre,val
Is the pool open in the morning?,ask_hours,sports centre,test
Can I use the sports centre on bank holidays?,ask_hours,sports centre,train
What time does the sports centre close on Saturdays?,ask_hours,sports centre,train
When are the squash courts available?,ask_hours,sports centre,train
What time do the classrooms open?,ask_hours,classroom,val
When are teaching rooms available?,ask_hours,classroom,val
What hours can I use a classroom?,ask_hours,classroom,val
What time does the laboratory open?,ask_hours,laboratory,train
When is the lab available for sessions?,ask_hours,laboratory,test
What are the lab opening hours?,ask_hours,laboratory,train
Is the lab open on Saturdays?,ask_hours,laboratory,train
When can I access the science lab?,ask_hours,laboratory,train
What time does the meeting room service open?,ask_hours,meeting room,train
When are meeting rooms available to book?,ask_hours,meeting room,train
What hours can I use a seminar room?,ask_hours,meeting room,test
